5	The cosmos is perfect, you know. Its laws are divine, its timing flawless, its design unique.	Satguru Sivaya Subramuniyaswami			Wisdom|
|6	I've experienced reincarnation without losing my identity. I experience my identity that goes through the string of beads. And I never became the bead totally. Many people experience reincarnation as one bead and then another bead and then another bead. I experience it as a thread.	Satguru Sivaya Subramuniyaswami			Facing Life
|7	If you live completely each second, you will experience many days inside each twenty-four hours.	Satguru Sivaya Subramuniyaswami			Wisdom
|8	Selfless service to mankind makes you free in the world of mortals.	Satguru Sivaya Subramuniyaswami			Basic Life Skills,Facing Life
|9	Be free from the past; abide in the present; detach yourself from the future; and live in the eternal now. Evil has no source, unless the source of evil's seeming be ignorance itself.	Satguru Sivaya Subramuniyaswami			Facing Life,Wisdom
|10	When the intellect is prominent, arrogance and analytical thinking preside. When the superconscious soul comes forth, the refined qualities are born—compassion, insight, modesty and the others.	Satguru Sivaya Subramuniyaswami			Meditation,Facing Life
|11	When we encounter wickedness in others, let us be compassionate, for truly there is no intrinsic evil.	Satguru Sivaya Subramuniyaswami			Facing Life
|12	When through meditation, we view the universe from the inside out, we see that there is not one thing out of place or wrong. This releases the human concepts of right and wrong, good and bad.	Satguru Sivaya Subramuniyaswami			Wisdom,Meditation
|13	It is the interplay between our experience and how we respond to it that makes karma devastating or helpfully invigorating. 	Satguru Sivaya Subramuniyaswami			Karma
|14	The whole world is an ashram in which all are doing sadhana. We must love the world, which is God's creation. Those who despise, hate and fear the world do not understand the intrinsic goodness of all.	Satguru Sivaya Subramuniyaswami			Facing Life,Sadhana
|15	As the light cannot detach itself from its rays, Lord Siva cannot withdraw Himself from His creations.	Satguru Sivaya Subramuniyaswami			Siva
|16	So great is the Sanatana Dharma that it defies all who doubt it, all who disdain it, all who disregard it, all who degrade it, with personal realization of its Truth.	Satguru Sivaya Subramuniyaswami			Hinduism
|17	The Saiva Siddhanta perspective is that Siva's wonderful universe of form is perfect at every point in time, complete and totally just, and every soul, in all stages of evolution, is an intrinsic part of it, even Siva himself.	Satguru Sivaya Subramuniyaswami			Hinduism,Siva
|18	What is the binding force that keeps youths in the home? Love. If you love your children completely, they won't want to leave. You won't be able to force them out of the house, even if you try. You are bound together by bands of steel made of love.	Satguru Sivaya Subramuniyaswami			Facing Life
|19	Self Realization is finding That which is beyond even superconsciousness itself, beyond the mind—timeless, causeless, spaceless.	Satguru Sivaya Subramuniyaswami			The Self
|20	Become more humble. Become more self-effacing. Become more loving and understanding.	Satguru Sivaya Subramuniyaswami			Facing Life,Sadhana
|21	Those who are free from the past remember the future and move the forces of all three worlds for a better life for themselves and for all mankind.	Satguru Sivaya Subramuniyaswami			Facing Life
